10,1,1.25
5,1,1;5,1,1
5,2,1;5,1,1
5,2,1;5,2,1
6,2,1;5,2,1
6,3,1;5,2,1
7,3,1;5,2,1
7,3,1;6,3,1
8,3,1;6,3,1
8,4,1;6,3,1
9,4,0.75;6,3,1
9,4,0.75;7,3,1
10,4,0.75;7,3,1
10,5,0.75;7,4,1
10,5,0.75;8,4,1
11,5,0.75;8,4,1
11,6,0.75;8,4,1
12,6,0.75;8,5,1
12,6,0.75;9,5,1
12,7,0.75;9,5,1
13,7,0.75;9,5,1
13,7,0.75;10,5,1
14,7,0.75;10,6,1
14,8,0.75;10,6,1
15,8,0.75;10,6,1
15,8,0.75;11,6,1
15,9,0.75;11,7,1
16,9,0.75;11,7,1
16,9,0.75;12,7,1
17,10,0.75;12,7,1
17,10,0.75;12,8,1
18,10,0.75;12,8,1
18,11,0.75;13,8,1
18,11,0.75;13,9,1
19,11,0.75;13,9,1
19,12,0.75;14,9,1
20,12,0.75;14,9,1
20,12,0.75;14,10,1
21,13,0.75;15,10,1
21,13,0.75;15,10,1
22,13,0.75;15,11,1
22,14,0.75;16,11,1
23,14,0.75;16,11,1
23,14,0.75;16,12,1
24,15,0.75;17,12,1
24,15,0.75;17,12,1
25,15,0.75;17,13,1
25,16,0.75;18,13,1
25,16,0.75;18,13,1
